id;param_name;year;value;eenheid;x_avg;y_avg
Ca_mg_l_nf;Calcium na filtratie (mg/l);2010;85.2558;mg/l;123755;476985
Ca_mg_l_nf;Calcium na filtratie (mg/l);2011;89.7458;mg/l;123090;475112
Ca_mg_l_nf;Calcium na filtratie (mg/l);2012;88.0652;mg/l;123879;477804
Ca_mg_l_nf;Calcium na filtratie (mg/l);2013;84.2162;mg/l;122342;476295
Ca_mg_l_nf;Calcium na filtratie (mg/l);2014;88.9808;mg/l;122961;476352
Ca_mg_l_nf;Calcium na filtratie (mg/l);2015;94.3333;mg/l;123427;480026
Ca_mg_l_nf;Calcium na filtratie (mg/l);2016;88.1364;mg/l;123178;480374
Ca_mg_l_nf;Calcium na filtratie (mg/l);2017;85.4857;mg/l;123928;475547
Ca_mg_l_nf;Calcium na filtratie (mg/l);2018;85.3393;mg/l;123806;475934
Ca_mg_l_nf;Calcium na filtratie (mg/l);2019;91.4176;mg/l;124160;476986
Ca_mg_l_nf;Calcium na filtratie (mg/l);2020;98.4762;mg/l;123222;475716
Ca_mg_l_nf;Calcium na filtratie (mg/l);2021;101.196;mg/l;123165;475915
Ca_mg_l_nf;Calcium na filtratie (mg/l);2022;95.917;mg/l;122834;475996
Ca_mg_l_nf;Calcium na filtratie (mg/l);2023;101.824;mg/l;122383;475568
Ca_mg_l_nf;Calcium na filtratie (mg/l);2024;94.3093;mg/l;122704;475645
Ca_mg_l_nf;Calcium na filtratie (mg/l);2025;92.4722;mg/l;123839;477184
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2000;44.5618;ug/l;119744;471416
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2001;27.6407;ug/l;123015;475153
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2002;40.7842;ug/l;121474;474443
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2003;29.2857;ug/l;122789;475306
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2004;27.9543;ug/l;121294;476243
CHLFa_ug_l_spectro;Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine;2005;63.1857;ug/l;119928;478712
