monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2010271416;2010-02-09 09:47;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;128859;480426
WN_FC2010273313;2010-03-01 09:25;IONEN;Calcium na filtratie (mg/l);77.0;mg/l;119349;493061
WN_FC2010274054;2010-03-10 09:25;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;128859;480426
WN_FC2010274207;2010-03-12 10:05;IONEN;Calcium na filtratie (mg/l);95.0;mg/l;119445;463875
WN_FC2010275013;2010-03-15 09:29;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;125290;470063
WN_FC2010272158;2010-03-25 09:55;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;125290;470063
WN_FC2010276055;2010-03-29 09:20;IONEN;Calcium na filtratie (mg/l);80.0;mg/l;119349;493061
WN_FC2010276881;2010-04-08 07:51;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;128859;480426
WN_FC2010276921;2010-04-08 08:53;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119445;463875
WN_FC2010277238;2010-04-12 10:50;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;125290;470063
WN_FC2010277948;2010-04-19 08:48;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119349;493061
WN_FC2010279513;2010-05-06 08:33;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119445;463875
WN_FC2010279933;2010-05-10 11:10;IONEN;Calcium na filtratie (mg/l);91.0;mg/l;125290;470063
WN_FC2010279537;2010-05-12 10:24;IONEN;Calcium na filtratie (mg/l);72.0;mg/l;128859;480426
WN_FC2010280427;2010-05-17 08:50;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;119349;493061
WN_FC2010282246;2010-06-03 08:24;IONEN;Calcium na filtratie (mg/l);68.0;mg/l;128859;480426
WN_FC2010282540;2010-06-07 12:29;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;125290;470063
WN_FC2010282994;2010-06-14 08:40;IONEN;Calcium na filtratie (mg/l);80.0;mg/l;119349;493061
WN_FC2010283074;2010-06-14 08:45;IONEN;Calcium na filtratie (mg/l);96.0;mg/l;119445;463875
WN_FC2010284970;2010-07-05 11:20;IONEN;Calcium na filtratie (mg/l);91.0;mg/l;125290;470063
WN_FC2010285326;2010-07-08 09:38;IONEN;Calcium na filtratie (mg/l);64.0;mg/l;128859;480426
WN_FC2010285750;2010-07-15 09:58;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119445;463875
WN_FC2010286862;2010-07-26 09:50;IONEN;Calcium na filtratie (mg/l);79.0;mg/l;119349;493061
WN_FC2010287767;2010-08-02 11:48;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;125290;470063
WN_FC2010288632;2010-08-12 08:57;IONEN;Calcium na filtratie (mg/l);61.0;mg/l;128859;480426
WN_FC2010289187;2010-08-19 08:49;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119445;463875
WN_FC2010289904;2010-08-23 08:50;IONEN;Calcium na filtratie (mg/l);73.0;mg/l;119349;493061
WN_FC2010290666;2010-09-03 08:21;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;128859;480426
WN_FC2010291652;2010-09-13 11:18;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;125290;470063
