monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000011012;2000-01-14 10:10;ALGEN;Feofytine (ug/l);7.1;ug/l
WN_FC2000020439;2000-02-07 10:10;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000020457;2000-02-07 12:12;ALGEN;Feofytine (ug/l);10.1;ug/l
WN_FC2000020450;2000-02-07 14:14;ALGEN;Feofytine (ug/l);4.0;ug/l
WN_FC2000020830;2000-02-10 12:12;ALGEN;Feofytine (ug/l);14.1;ug/l
WN_FC2000021243;2000-02-15 10:10;ALGEN;Feofytine (ug/l);15.7;ug/l
WN_FC2000022227;2000-02-25 11:11;ALGEN;Feofytine (ug/l);12.2;ug/l
WN_FC2000022500;2000-02-29 10:10;ALGEN;Feofytine (ug/l);44.5;ug/l
WN_FC2000030643;2000-03-08 10:10;ALGEN;Feofytine (ug/l);17.6;ug/l
WN_FC2000030720;2000-03-10 10:10;ALGEN;Feofytine (ug/l);15.4;ug/l
WN_FC2000031541;2000-03-20 10:10;ALGEN;Feofytine (ug/l);32.6;ug/l
WN_FC2000032405;2000-03-29 10:10;ALGEN;Feofytine (ug/l);53.4;ug/l
WN_FC2000040017;2000-04-03 10:10;ALGEN;Feofytine (ug/l);4.8;ug/l
WN_FC2000040002;2000-04-03 13:13;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000040365;2000-04-06 12:12;ALGEN;Feofytine (ug/l);25.5;ug/l
WN_FC2000040469;2000-04-07 13:13;ALGEN;Feofytine (ug/l);21.0;ug/l
WN_FC2000041567;2000-04-20 11:11;ALGEN;Feofytine (ug/l);128.0;ug/l
WN_FC2000042115;2000-04-27 10:10;ALGEN;Feofytine (ug/l);36.3;ug/l
WN_FC2000050018;2000-05-02 09:50;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000050015;2000-05-02 10:10;ALGEN;Feofytine (ug/l);29.6;ug/l
WN_FC2000050236;2000-05-03 09:55;ALGEN;Feofytine (ug/l);66.5;ug/l
WN_FC2000050471;2000-05-08 13:13;ALGEN;Feofytine (ug/l);23.8;ug/l
WN_FC2000051501;2000-05-18 09:45;ALGEN;Feofytine (ug/l);19.1;ug/l
WN_FC2000052183;2000-05-25 11:11;ALGEN;Feofytine (ug/l);11.0;ug/l
WN_FC2000052278;2000-05-26 12:12;ALGEN;Feofytine (ug/l);4.1;ug/l
WN_FC2000052559;2000-05-30 09:50;ALGEN;Feofytine (ug/l);10.8;ug/l
WN_FC2000052549;2000-05-30 10:10;ALGEN;Feofytine (ug/l);20.3;ug/l
WN_FC2000052556;2000-05-30 12:12;ALGEN;Feofytine (ug/l);32.6;ug/l
WN_FC2000060989;2000-06-14 11:11;ALGEN;Feofytine (ug/l);26.0;ug/l
WN_FC2000061433;2000-06-19 09:40;ALGEN;Feofytine (ug/l);19.4;ug/l
WN_FC2000062361;2000-06-29 11:11;ALGEN;Feofytine (ug/l);8.5;ug/l
WN_FC2000062371;2000-06-29 12:12;ALGEN;Feofytine (ug/l);4.0;ug/l
WN_FC2000062367;2000-06-29 13:13;ALGEN;Feofytine (ug/l);12.3;ug/l
WN_FC2000062526;2000-06-30 09:25;ALGEN;Feofytine (ug/l);3.6;ug/l
WN_FC2000062535;2000-06-30 12:12;ALGEN;Feofytine (ug/l);24.8;ug/l
WN_FC2000070755;2000-07-11 09:25;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000071397;2000-07-17 09:45;ALGEN;Feofytine (ug/l);14.3;ug/l
WN_FC2000072008;2000-07-24 09:45;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000072101;2000-07-25 12:12;ALGEN;Feofytine (ug/l);50.5;ug/l
WN_FC2000072374;2000-07-27 08:50;ALGEN;Feofytine (ug/l);5.4;ug/l
WN_FC2000072364;2000-07-27 09:30;ALGEN;Feofytine (ug/l);6.5;ug/l
WN_FC2000072370;2000-07-27 14:14;ALGEN;Feofytine (ug/l);36.8;ug/l
WN_FC2000080859;2000-08-10 13:13;ALGEN;Feofytine (ug/l);22.0;ug/l
WN_FC2000081638;2000-08-17 12:12;ALGEN;Feofytine (ug/l);9.7;ug/l
WN_FC2000082128;2000-08-23 12:12;ALGEN;Feofytine (ug/l);90.8;ug/l
WN_FC2000082236;2000-08-24 09:20;ALGEN;Feofytine (ug/l);11.6;ug/l
WN_FC2000082181;2000-08-24 10:10;ALGEN;Feofytine (ug/l);13.1;ug/l
WN_FC2000082191;2000-08-24 12:00;ALGEN;Feofytine (ug/l);11.0;ug/l
WN_FC2000082302;2000-08-25 09:15;ALGEN;Feofytine (ug/l);9.6;ug/l
WN_FC2000090204;2000-09-05 10:10;ALGEN;Feofytine (ug/l);11.7;ug/l
WN_FC2000091256;2000-09-15 09:30;ALGEN;Feofytine (ug/l);17.3;ug/l
WN_FC2000091633;2000-09-20 09:40;ALGEN;Feofytine (ug/l);3.6;ug/l
WN_FC2000091617;2000-09-20 11:11;ALGEN;Feofytine (ug/l);3.1;ug/l
WN_FC2000091629;2000-09-20 12:12;ALGEN;Feofytine (ug/l);8.9;ug/l
WN_FC2000091731;2000-09-21 09:10;ALGEN;Feofytine (ug/l);3.4;ug/l
WN_FC2000091740;2000-09-21 11:11;ALGEN;Feofytine (ug/l);31.6;ug/l
WN_FC2000092320;2000-09-28 12:12;ALGEN;Feofytine (ug/l);6.7;ug/l
WN_FC2000100267;2000-10-05 12:00;ALGEN;Feofytine (ug/l);7.2;ug/l
WN_FC2000100815;2000-10-12 10:10;ALGEN;Feofytine (ug/l);6.2;ug/l
WN_FC2000101022;2000-10-16 10:10;ALGEN;Feofytine (ug/l);26.4;ug/l
WN_FC2000101040;2000-10-16 10:10;ALGEN;Feofytine (ug/l);11.2;ug/l
WN_FC2000101047;2000-10-16 12:12;ALGEN;Feofytine (ug/l);49.3;ug/l
WN_FC2000102289;2000-10-31 10:10;ALGEN;Feofytine (ug/l);33.9;ug/l
WN_FC2000110105;2000-11-02 11:11;ALGEN;Feofytine (ug/l);11.9;ug/l
WN_FC2000110368;2000-11-07 10:10;ALGEN;Feofytine (ug/l);9.4;ug/l
WN_FC2000110952;2000-11-13 09:20;ALGEN;Feofytine (ug/l);36.3;ug/l
WN_FC2000110958;2000-11-13 11:11;ALGEN;Feofytine (ug/l);9.1;ug/l
WN_FC2000110962;2000-11-14 09:20;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000111181;2000-11-15 13:13;ALGEN;Feofytine (ug/l);3.0;ug/l
WN_FC2000111062;2000-11-16 12:12;ALGEN;Feofytine (ug/l);3.0;ug/l
