monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000011012;2000-01-14 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2000011825;2000-01-24 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;339.0;mS/m
WN_FC2000012087;2000-01-26 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;379.0;mS/m
WN_FC2000020439;2000-02-07 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;328.0;mS/m
WN_FC2000020457;2000-02-07 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;110.0;mS/m
WN_FC2000020450;2000-02-07 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;184.0;mS/m
WN_FC2000020820;2000-02-10 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;280.0;mS/m
WN_FC2000020830;2000-02-10 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;69.0;mS/m
WN_FC2000021243;2000-02-15 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;62.0;mS/m
WN_FC2000022227;2000-02-25 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;90.0;mS/m
WN_FC2000022500;2000-02-29 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;56.0;mS/m
WN_FC2000030540;2000-03-07 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;185.0;mS/m
WN_FC2000030643;2000-03-08 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;94.0;mS/m
WN_FC2000030646;2000-03-08 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;330.0;mS/m
WN_FC2000030637;2000-03-09 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;64.0;mS/m
WN_FC2000030720;2000-03-10 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;120.0;mS/m
WN_FC2000031541;2000-03-20 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;117.0;mS/m
WN_FC2000032405;2000-03-29 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2000040017;2000-04-03 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;214.0;mS/m
WN_FC2000040002;2000-04-03 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;336.0;mS/m
