monsterident,datum,locatiecode,xcoormonster,ycoormonster,fewsparameter,fewsparameternaam,parametercode,grootheid,biotaxonnaam,twn_naam,wna_nederlandse_soortnaam,meetwaarde,eenheid,compartiment
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Anisus vortex,Anisus vortex,,64.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Lestes viridis,Chalcolestes viridis,,7.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Limnodrilus claparedeianus,Limnodrilus claparedianus,,1.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Lymnaea stagnalis,Lymnaea stagnalis,,4.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Musculium lacustre,Musculium lacustre,,3.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Physa fontinalis,Physa fontinalis,,12.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Armiger crista,Gyraulus crista,,14.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Piona imminuta,Piona imminuta,,1.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Planorbarius corneus,Planorbarius corneus,,10.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Planorbis carinatus,Planorbis carinatus,,12.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Planorbis planorbis,Planorbis planorbis,,10.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Plea minutissima,Plea minutissima,,1.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Procladius,Procladius,,1.0,n,OW
3244,1998-06-24 00:00:00,VGD002,125960,483240,MEA_n,Macro-evertebraten (n),,AANTL,Asellus aquaticus,Asellus aquaticus,,5.0,n,OW
