monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2008209670;2008-02-12 09:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);530.0;mg/l
WN_FC2010271416;2010-02-09 09:47;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);150.0;mg/l
WN_FC2010273313;2010-03-01 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010274054;2010-03-10 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010274126;2010-03-11 08:07;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);370.0;mg/l
WN_FC2010274128;2010-03-11 08:31;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);490.0;mg/l
WN_FC2010274207;2010-03-12 10:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);260.0;mg/l
WN_FC2010275013;2010-03-15 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010272158;2010-03-25 09:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010276055;2010-03-29 09:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010276881;2010-04-08 07:51;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010276921;2010-04-08 08:53;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2010277238;2010-04-12 10:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010276986;2010-04-19 08:06;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);360.0;mg/l
WN_FC2010276988;2010-04-19 08:23;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);450.0;mg/l
WN_FC2010277948;2010-04-19 08:48;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010279513;2010-05-06 08:33;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010279598;2010-05-07 09:42;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2010279600;2010-05-07 10:06;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);430.0;mg/l
WN_FC2010279933;2010-05-10 11:10;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2010279537;2010-05-12 10:24;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010280427;2010-05-17 08:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010282246;2010-06-03 08:24;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010282540;2010-06-07 12:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2010282825;2010-06-11 10:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);360.0;mg/l
WN_FC2010282827;2010-06-11 10:41;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);430.0;mg/l
WN_FC2010282994;2010-06-14 08:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010283074;2010-06-14 08:45;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2010284970;2010-07-05 11:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);340.0;mg/l
WN_FC2010285326;2010-07-08 09:38;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2010285519;2010-07-13 09:13;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010285521;2010-07-13 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);450.0;mg/l
WN_FC2010285750;2010-07-15 09:58;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010286862;2010-07-26 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);160.0;mg/l
WN_FC2010287767;2010-08-02 11:48;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010288632;2010-08-12 08:57;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010288677;2010-08-12 09:12;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);270.0;mg/l
WN_FC2010288679;2010-08-12 09:36;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);370.0;mg/l
WN_FC2010289187;2010-08-19 08:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2010289904;2010-08-23 08:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010290666;2010-09-03 08:21;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);140.0;mg/l
WN_FC2010291260;2010-09-09 09:31;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);240.0;mg/l
WN_FC2010291262;2010-09-09 09:52;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010291652;2010-09-13 11:18;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010291792;2010-09-16 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2010292648;2010-09-20 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2010292794;2010-09-21 11:14;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2010293711;2010-10-05 10:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010293721;2010-10-06 08:33;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2010293772;2010-10-07 08:08;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2010294475;2010-10-15 11:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);380.0;mg/l
WN_FC2010294477;2010-10-15 11:17;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);410.0;mg/l
WN_FC2010294616;2010-10-18 09:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010295809;2010-10-27 12:01;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2010296238;2010-11-01 12:10;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2010296160;2010-11-02 09:36;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2010296242;2010-11-03 08:43;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2010297595;2010-11-15 08:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2010297694;2010-11-17 10:10;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);370.0;mg/l
WN_FC2010297696;2010-11-17 10:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);470.0;mg/l
WN_FC2010298397;2010-11-25 11:23;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);340.0;mg/l
WN_FC2010299155;2010-12-13 08:58;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2011302481;2011-01-11 09:23;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);430.0;mg/l
WN_FC2011302266;2011-01-24 11:42;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);150.0;mg/l
WN_FC2011303993;2011-01-31 12:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011304167;2011-02-02 10:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011304168;2011-02-02 10:07;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011304243;2011-02-03 09:39;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011303870;2011-02-07 10:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);270.0;mg/l
WN_FC2011305001;2011-02-10 10:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);380.0;mg/l
WN_FC2011305886;2011-02-21 08:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011307265;2011-03-10 10:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);370.0;mg/l
WN_FC2011307166;2011-03-10 11:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011309296;2011-04-06 11:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);240.0;mg/l
WN_FC2011309648;2011-04-08 08:28;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011309892;2011-04-11 10:11;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011309929;2011-04-11 11:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2011310440;2011-04-14 08:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011310441;2011-04-14 08:39;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2011310844;2011-04-18 09:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2011312936;2011-05-12 09:44;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2011313264;2011-05-16 09:18;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011315046;2011-06-01 08:06;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2011315158;2011-06-06 11:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2011315438;2011-06-08 12:28;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2011316359;2011-06-17 09:14;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2011316358;2011-06-17 09:21;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2011316830;2011-06-22 09:56;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011317322;2011-06-27 08:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2011318073;2011-07-06 11:41;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2011319082;2011-07-13 09:32;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2011319083;2011-07-13 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011318317;2011-07-13 12:14;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);160.0;mg/l
WN_FC2011319409;2011-07-25 08:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011319559;2011-07-26 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2011319408;2011-07-28 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011321260;2011-08-04 08:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2011322125;2011-08-05 08:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2011322126;2011-08-05 08:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011321256;2011-08-08 11:41;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011322704;2011-08-15 12:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011322838;2011-08-17 09:22;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011322705;2011-08-22 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2011324787;2011-09-09 00:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);150.0;mg/l
WN_FC2011325459;2011-09-27 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011327975;2011-10-06 09:31;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2011327844;2011-10-07 11:48;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011328332;2011-10-10 09:38;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011328331;2011-10-10 10:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011328291;2011-10-13 09:13;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2011328631;2011-10-14 10:11;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2011329760;2011-10-31 08:36;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011331884;2011-11-08 09:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);510.0;mg/l
WN_FC2011332086;2011-11-10 10:46;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011334613;2011-12-01 09:35;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011334535;2011-12-01 10:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011335497;2011-12-07 09:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011335193;2011-12-08 09:34;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2011335194;2011-12-08 09:44;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011336402;2011-12-19 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011335730;2011-12-21 09:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012338155;2012-01-17 10:13;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);490.0;mg/l
WN_FC2012340237;2012-02-20 10:03;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);260.0;mg/l
WN_FC2012340348;2012-02-21 08:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2012340260;2012-02-23 08:28;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2012340281;2012-02-27 08:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012340394;2012-02-27 10:51;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2012342122;2012-03-21 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);500.0;mg/l
WN_FC2012344007;2012-04-04 07:52;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012343980;2012-04-04 11:58;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012344401;2012-04-11 10:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2012344922;2012-04-16 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012345011;2012-04-18 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2012344921;2012-04-27 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);340.0;mg/l
WN_FC2012347506;2012-05-15 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012349943;2012-06-04 12:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2012350232;2012-06-06 10:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2012350387;2012-06-14 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012350885;2012-06-14 09:04;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012351259;2012-06-18 08:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2012351480;2012-06-20 08:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012352156;2012-07-02 11:04;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012352417;2012-07-04 10:54;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
