monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000011012;2000-01-14 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.61;mg/l
WN_FC2000012087;2000-01-26 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.32;mg/l
WN_FC2000020439;2000-02-07 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.066;mg/l
WN_FC2000020457;2000-02-07 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.592;mg/l
WN_FC2000020450;2000-02-07 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);4.68;mg/l
WN_FC2000020820;2000-02-10 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.368;mg/l
WN_FC2000020830;2000-02-10 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.63;mg/l
WN_FC2000021243;2000-02-15 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.199;mg/l
WN_FC2000022227;2000-02-25 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.234;mg/l
WN_FC2000022500;2000-02-29 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.152;mg/l
WN_FC2000030540;2000-03-07 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.179;mg/l
WN_FC2000030643;2000-03-08 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.666;mg/l
WN_FC2000030720;2000-03-10 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.51;mg/l
WN_FC2000031541;2000-03-20 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.495;mg/l
WN_FC2000032405;2000-03-29 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.342;mg/l
WN_FC2000040017;2000-04-03 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.66;mg/l
WN_FC2000040002;2000-04-03 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.063;mg/l
