monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3220100092;2010-07-01 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;128934;483088
3220100092;2010-07-01 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;128934;483088
3220100237;2010-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;120967;479420
3220100237;2010-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;120967;479420
3220100311;2010-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;121027;480277
3220100311;2010-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;121027;480277
3220101010;2010-08-30 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;122000;477230
3220101010;2010-08-30 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;122000;477230
3220101261;2010-09-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2.0;DIMSLS;122368;474435
3220101261;2010-09-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2.0;DIMSLS;122368;474435
3220110797;2011-07-26 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
3220110797;2011-07-26 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
3220110844;2011-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;119055;475103
3220110844;2011-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;119055;475103
3220110888;2011-07-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
3220110888;2011-07-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
3220120210;2012-06-13 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128952;473458
3220120210;2012-06-13 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128952;473458
3220120211;2012-06-13 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128952;473458
3220120211;2012-06-13 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128952;473458
3220120258;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128994;473976
3220120258;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128994;473976
3220120260;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
3220120260;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
3220120259;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128994;473976
3220120259;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128994;473976
3220120261;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
3220120261;2012-06-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
3220120432;2012-06-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128298;476478
3220120432;2012-06-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;128298;476478
3220120776;2012-07-05 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
3220120776;2012-07-05 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
WP_NVO_415071;2014-08-11 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP_NVO_415071;2014-08-11 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP_NVO_415241;2014-08-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;112483;470393
WP_NVO_415241;2014-08-14 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;112483;470393
WP_NVO_419734;2014-09-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;115910;488687
WP_NVO_419734;2014-09-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;115910;488687
15438074;2015-07-06 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128952;473458
15438074;2015-07-06 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;128952;473458
15437584;2015-07-08 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
15437584;2015-07-08 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
15436863;2015-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;115910;488687
15436863;2015-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;115910;488687
15437009;2015-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
15437009;2015-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
15437884;2015-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
15437884;2015-07-20 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
15437266;2015-07-30 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
15437266;2015-07-30 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
15437845;2015-07-31 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
15437845;2015-07-31 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP469507;2016-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;123228;475060
WP469507;2016-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;123228;475060
WP468948;2016-08-04 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;115384;491652
WP468948;2016-08-04 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;115384;491652
WP527527;2018-06-11 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP527527;2018-06-11 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP527386;2018-06-14 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
WP527386;2018-06-14 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113136;488342
WP527157;2018-07-02 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP527157;2018-07-02 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP527273;2018-07-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
WP527273;2018-07-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
WP527407;2018-07-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
WP527407;2018-07-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
WP527367;2018-07-31 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;115910;488687
WP527367;2018-07-31 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;115910;488687
WP557014;2019-06-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;126998;475236
WP557014;2019-06-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;126998;475236
WP556675;2019-06-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;123228;475060
WP556675;2019-06-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;123228;475060
WP584905;2020-06-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP584905;2020-06-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP584914;2020-06-16 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;117888;474337
WP584914;2020-06-16 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;117888;474337
WP584792;2020-07-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;120967;479420
WP584792;2020-07-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;120967;479420
WP618218;2021-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
WP618218;2021-07-15 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;129389;476283
WP617913;2021-07-22 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;113136;488342
WP617913;2021-07-22 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;113136;488342
WP617941;2021-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP617941;2021-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;113078;484874
WP617952;2021-08-30 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;115910;488687
WP617952;2021-08-30 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;115910;488687
WP656813;2022-06-02 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP656813;2022-06-02 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP656638;2022-06-07 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;126998;475236
WP656638;2022-06-07 12:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;126998;475236
WP656827;2022-06-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
WP656827;2022-06-09 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
WP657105;2022-08-23 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;123228;475060
WP657105;2022-08-23 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;123228;475060
WP708258;2023-08-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP708258;2023-08-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
WP709213;2023-08-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
WP709213;2023-08-21 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
3220100479;2010-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;124425;463399
3220100479;2010-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;124425;463399
3220100481;2010-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;125801;464944
3220100481;2010-08-03 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);7.0;DIMSLS;125801;464944
3220100812;2010-08-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);6.0;DIMSLS;120044;463834
3220100812;2010-08-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);6.0;DIMSLS;120044;463834
3220101097;2010-09-01 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;124154;467217
3220101097;2010-09-01 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);5.0;DIMSLS;124154;467217
3220110632;2011-07-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);4.0;DIMSLS;118084;465734
3220110632;2011-07-19 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);4.0;DIMSLS;118084;465734
3220110797;2011-07-26 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
3220110797;2011-07-26 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117769;476704
3220110844;2011-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;119055;475103
3220110844;2011-07-27 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);3.0;DIMSLS;119055;475103
3220110888;2011-07-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
3220110888;2011-07-28 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);1.0;DIMSLS;117888;474337
3220110998;2011-08-02 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2.0;DIMSLS;115654;474261
3220110998;2011-08-02 00:00;MONSVAR;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2.0;DIMSLS;115654;474261
