monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WP527527;2018-06-11 00:00;VELD;Foto aantal;1.0;DIMSLS;113078;484874
WP527527;2018-06-11 00:00;VELD;Foto aantal;1.0;DIMSLS;113078;484874
WP527386;2018-06-14 12:00;VELD;Foto aantal;1.0;DIMSLS;113136;488342
WP527386;2018-06-14 12:00;VELD;Foto aantal;1.0;DIMSLS;113136;488342
WP527157;2018-07-02 12:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP527157;2018-07-02 12:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP527273;2018-07-09 00:00;VELD;Foto aantal;1.0;DIMSLS;129389;476283
WP527273;2018-07-09 00:00;VELD;Foto aantal;1.0;DIMSLS;129389;476283
WP527407;2018-07-19 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP527407;2018-07-19 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP527367;2018-07-31 00:00;VELD;Foto aantal;1.0;DIMSLS;115910;488687
WP527367;2018-07-31 00:00;VELD;Foto aantal;1.0;DIMSLS;115910;488687
WP557014;2019-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;126998;475236
WP557014;2019-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;126998;475236
WP556675;2019-06-28 00:00;VELD;Foto aantal;1.0;DIMSLS;123228;475060
WP556675;2019-06-28 00:00;VELD;Foto aantal;1.0;DIMSLS;123228;475060
WP584905;2020-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP584905;2020-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP584914;2020-06-16 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP584914;2020-06-16 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP584792;2020-07-21 00:00;VELD;Foto aantal;1.0;DIMSLS;120967;479420
WP584792;2020-07-21 00:00;VELD;Foto aantal;1.0;DIMSLS;120967;479420
WP618218;2021-07-15 00:00;VELD;Foto aantal;1.0;DIMSLS;129389;476283
WP618218;2021-07-15 00:00;VELD;Foto aantal;1.0;DIMSLS;129389;476283
WP617913;2021-07-22 00:00;VELD;Foto aantal;1.0;DIMSLS;113136;488342
WP617913;2021-07-22 00:00;VELD;Foto aantal;1.0;DIMSLS;113136;488342
WP617941;2021-07-27 00:00;VELD;Foto aantal;1.0;DIMSLS;113078;484874
WP617941;2021-07-27 00:00;VELD;Foto aantal;1.0;DIMSLS;113078;484874
WP617952;2021-08-30 12:00;VELD;Foto aantal;1.0;DIMSLS;115910;488687
WP617952;2021-08-30 12:00;VELD;Foto aantal;1.0;DIMSLS;115910;488687
WP656813;2022-06-02 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP656813;2022-06-02 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP656638;2022-06-07 12:00;VELD;Foto aantal;1.0;DIMSLS;126998;475236
WP656638;2022-06-07 12:00;VELD;Foto aantal;1.0;DIMSLS;126998;475236
WP656827;2022-06-09 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP656827;2022-06-09 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP657105;2022-08-23 00:00;VELD;Foto aantal;1.0;DIMSLS;123228;475060
WP657105;2022-08-23 00:00;VELD;Foto aantal;1.0;DIMSLS;123228;475060
WP708258;2023-08-21 00:00;VELD;Foto aantal;708257.984;DIMSLS;117769;476704
WP708258;2023-08-21 00:00;VELD;Foto aantal;708257.984;DIMSLS;117769;476704
WP709213;2023-08-21 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
WP709213;2023-08-21 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
3420230127;2023-09-14 00:00;VELD;Foto aantal;1.0;DIMSLS;121943;474551
3420230127;2023-09-14 00:00;VELD;Foto aantal;1.0;DIMSLS;121943;474551
WP740030;2024-06-03 00:00;VELD;Foto aantal;740030.016;DIMSLS;123228;475060
WP740030;2024-06-03 00:00;VELD;Foto aantal;740030.016;DIMSLS;123228;475060
WP498101;2017-06-21 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP498101;2017-06-21 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP498274;2017-06-29 00:00;VELD;Foto aantal;1.0;DIMSLS;115480;466496
WP498274;2017-06-29 00:00;VELD;Foto aantal;1.0;DIMSLS;115480;466496
WP497871;2017-07-26 00:00;VELD;Foto aantal;1.0;DIMSLS;119410;464469
WP497871;2017-07-26 00:00;VELD;Foto aantal;1.0;DIMSLS;119410;464469
WP527441;2018-07-16 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP527441;2018-07-16 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
3420180005;2018-09-25 00:00;VELD;Foto aantal;1.0;DIMSLS;123752;473686
3420180005;2018-09-25 00:00;VELD;Foto aantal;1.0;DIMSLS;123752;473686
WP557078;2019-07-02 00:00;VELD;Foto aantal;1.0;DIMSLS;121458;466369
WP557078;2019-07-02 00:00;VELD;Foto aantal;1.0;DIMSLS;121458;466369
WP557075;2019-07-03 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP557075;2019-07-03 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP556726;2019-07-15 12:00;VELD;Foto aantal;1.0;DIMSLS;121197;467139
WP556726;2019-07-15 12:00;VELD;Foto aantal;1.0;DIMSLS;121197;467139
WP557235;2019-07-17 00:00;VELD;Foto aantal;1.0;DIMSLS;125801;464944
WP557235;2019-07-17 00:00;VELD;Foto aantal;1.0;DIMSLS;125801;464944
WP557109;2019-07-19 00:00;VELD;Foto aantal;1.0;DIMSLS;124425;463399
WP557109;2019-07-19 00:00;VELD;Foto aantal;1.0;DIMSLS;124425;463399
WP584905;2020-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP584905;2020-06-03 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP584788;2020-06-23 00:00;VELD;Foto aantal;1.0;DIMSLS;115480;466496
WP584788;2020-06-23 00:00;VELD;Foto aantal;1.0;DIMSLS;115480;466496
WP584705;2020-06-30 00:00;VELD;Foto aantal;1.0;DIMSLS;118112;468797
WP584705;2020-06-30 00:00;VELD;Foto aantal;1.0;DIMSLS;118112;468797
WP584948;2020-07-15 00:00;VELD;Foto aantal;1.0;DIMSLS;115654;474261
WP584948;2020-07-15 00:00;VELD;Foto aantal;1.0;DIMSLS;115654;474261
WP585122;2020-07-20 00:00;VELD;Foto aantal;1.0;DIMSLS;119410;464469
WP585122;2020-07-20 00:00;VELD;Foto aantal;1.0;DIMSLS;119410;464469
WP584991;2020-08-04 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP584991;2020-08-04 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP617978;2021-07-27 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP617978;2021-07-27 00:00;VELD;Foto aantal;1.0;DIMSLS;124154;467217
WP656813;2022-06-02 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP656813;2022-06-02 00:00;VELD;Foto aantal;1.0;DIMSLS;117769;476704
WP656827;2022-06-09 00:00;VELD;Foto aantal;1.0;DIMSLS;117888;474337
