monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
2006702;2006-07-20 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;124428;477967
20091389;2009-09-08 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;124428;477967
20091389;2009-09-08 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;124428;477967
3220101658;2010-09-27 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;124428;477967
3220101658;2010-09-27 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;124428;477967
3220110913;2011-07-29 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;124428;477967
3220110913;2011-07-29 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;124428;477967
20061068;2006-07-30 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;126109;470524
20061068;2006-07-30 00:00;HYBIO;Plantenopname met Natschaal;0.0;DIMSLS;126109;470524
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2006204;2006-08-04 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2007722;2007-08-08 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
2008769;2008-07-13 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;5.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
20091255;2009-07-26 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;3.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;6.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;4.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;2.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;1.0;DIMSLS;123752;473686
3220100404;2010-07-27 00:00;HYBIO;Plantenopname met Natschaal;3.0;DIMSLS;123752;473686
