monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);5.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);5.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);55.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);50.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);5.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);5.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);55.0;%;117769;476704
200318;2003-08-25 00:00;HYBIO;Plantenbedekking (%);50.0;%;117769;476704
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);70.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);30.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);100.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);100.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);70.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);30.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);100.0;%;117946;474277
200347;2003-08-27 00:00;HYBIO;Plantenbedekking (%);100.0;%;117946;474277
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);5.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);15.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);95.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);90.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);5.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);15.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);95.0;%;119055;475103
2003107;2003-08-28 00:00;HYBIO;Plantenbedekking (%);90.0;%;119055;475103
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);1.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);90.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);90.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);0.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);1.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);90.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);90.0;%;122685;481594
2005383;2005-08-08 00:00;HYBIO;Plantenbedekking (%);0.0;%;122685;481594
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);100.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);15.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);10.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);50.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);100.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);15.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);10.0;%;121773;479276
2005398;2005-08-09 00:00;HYBIO;Plantenbedekking (%);50.0;%;121773;479276
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);1.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);80.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);80.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);1.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);1.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);80.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);80.0;%;128582;481747
2005459;2005-08-16 00:00;HYBIO;Plantenbedekking (%);1.0;%;128582;481747
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);10.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);1.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);25.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);20.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);10.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);1.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);25.0;%;129187;479844
2005556;2005-08-24 00:00;HYBIO;Plantenbedekking (%);20.0;%;129187;479844
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);90.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);20.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);100.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);90.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);90.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);20.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);100.0;%;129577;479122
2005583;2005-08-29 00:00;HYBIO;Plantenbedekking (%);90.0;%;129577;479122
3220065269;2006-07-07 00:00;HYBIO;Plantenbedekking (%);3.0;%;123228;475060
3220065269;2006-07-07 00:00;HYBIO;Plantenbedekking (%);3.0;%;123228;475060
3220065324;2006-07-12 00:00;HYBIO;Plantenbedekking (%);3.0;%;128298;476478
3220065324;2006-07-12 00:00;HYBIO;Plantenbedekking (%);3.0;%;128298;476478
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);5.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2006702;2006-07-20 00:00;HYBIO;Plantenbedekking (%);5.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);5.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2007828;2007-07-30 00:00;HYBIO;Plantenbedekking (%);5.0;%;124428;477967
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);10.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);60.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);80.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);10.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);60.0;%;126712;473265
2007335;2007-08-01 00:00;HYBIO;Plantenbedekking (%);80.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);10.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);60.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);80.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);10.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);5.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);60.0;%;126712;473265
2008343;2007-08-01 00:00;HYBIO;Plantenbedekking (%);80.0;%;126712;473265
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2008903;2008-09-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;124428;477967
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);99.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);20.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);20.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);100.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);100.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);99.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);20.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);1.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);20.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);100.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);100.0;%;113136;488342
2009402;2009-08-03 00:00;HYBIO;Plantenbedekking (%);0.0;%;113136;488342
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);15.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);50.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);60.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);10.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);40.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);40.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);20.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);10.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);6.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);100.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);100.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);15.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);50.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);60.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);10.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);40.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);1.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);40.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);20.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);10.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);5.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);6.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);100.0;%;128994;473976
2009339;2009-08-05 00:00;HYBIO;Plantenbedekking (%);100.0;%;128994;473976
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);2.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);80.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);10.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);3.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);95.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);85.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);2.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);80.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);1.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);5.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);10.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);0.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);3.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);95.0;%;129389;476283
2009348;2009-08-10 00:00;HYBIO;Plantenbedekking (%);85.0;%;129389;476283
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);25.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);30.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);10.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);25.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);10.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);5.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);20.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);5.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);50.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);10.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);50.0;%;128952;473458
2009356;2009-08-11 00:00;HYBIO;Plantenbedekking (%);1.0;%;128952;473458
