monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.001;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.041;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.138;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.162;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.276;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.015;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.112;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.046;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.669;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.002;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.205;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.604;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.061;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.363;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.258;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.177;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.397;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.013;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.099;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.141;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.26;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.021;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.873;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.101;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.367;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.217;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.445;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.703;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.618;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);19.738;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.001;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.041;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.138;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.162;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.276;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.015;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.112;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.046;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);1.669;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.002;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.205;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.604;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.061;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.363;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.258;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.177;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.397;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.013;kg/ha;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (kg/ha);0.099;kg/ha;126579;464142
