monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.0;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.25;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);3.18;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);3.975;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);6.36;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);7.95;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);4.77;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);5.963;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.59;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.988;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.59;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.988;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);6.36;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);7.95;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.59;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.988;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.0;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.25;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.59;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.988;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);25.68;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);32.1;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);41.1;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);51.375;n;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Vissen per lengteklasse in cm (n);1.59;n;126579;464142
