monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
200318;2003-08-25 00:00;VELD;Waterdiepte (m);0.4;m;117769;476704
200318;2003-08-25 00:00;VELD;Waterdiepte (m);0.4;m;117769;476704
200347;2003-08-27 00:00;VELD;Waterdiepte (m);0.5;m;117946;474277
200347;2003-08-27 00:00;VELD;Waterdiepte (m);0.5;m;117946;474277
2003107;2003-08-28 00:00;VELD;Waterdiepte (m);0.3;m;119055;475103
2003107;2003-08-28 00:00;VELD;Waterdiepte (m);0.3;m;119055;475103
2005383;2005-08-08 00:00;VELD;Waterdiepte (m);0.2;m;122685;481594
2005383;2005-08-08 00:00;VELD;Waterdiepte (m);0.2;m;122685;481594
2005398;2005-08-09 00:00;VELD;Waterdiepte (m);0.2;m;121773;479276
2005398;2005-08-09 00:00;VELD;Waterdiepte (m);0.2;m;121773;479276
2005459;2005-08-16 00:00;VELD;Waterdiepte (m);0.1;m;128582;481747
2005459;2005-08-16 00:00;VELD;Waterdiepte (m);0.1;m;128582;481747
2005556;2005-08-24 00:00;VELD;Waterdiepte (m);0.4;m;129187;479844
2005556;2005-08-24 00:00;VELD;Waterdiepte (m);0.4;m;129187;479844
2005583;2005-08-29 00:00;VELD;Waterdiepte (m);0.5;m;129577;479122
2005583;2005-08-29 00:00;VELD;Waterdiepte (m);0.5;m;129577;479122
2006702;2006-07-20 00:00;VELD;Waterdiepte (m);1.4;m;124428;477967
2006702;2006-07-20 00:00;VELD;Waterdiepte (m);1.4;m;124428;477967
2007828;2007-07-30 00:00;VELD;Waterdiepte (m);1.7;m;124428;477967
2007828;2007-07-30 00:00;VELD;Waterdiepte (m);1.7;m;124428;477967
2007335;2007-08-01 00:00;VELD;Waterdiepte (m);0.4;m;126712;473265
2007335;2007-08-01 00:00;VELD;Waterdiepte (m);0.4;m;126712;473265
2008343;2007-08-01 00:00;VELD;Waterdiepte (m);0.4;m;126712;473265
2008343;2007-08-01 00:00;VELD;Waterdiepte (m);0.4;m;126712;473265
2008903;2008-09-10 00:00;VELD;Waterdiepte (m);1.2;m;124428;477967
2008903;2008-09-10 00:00;VELD;Waterdiepte (m);1.2;m;124428;477967
2009402;2009-08-03 00:00;VELD;Waterdiepte (m);0.3;m;113136;488342
2009402;2009-08-03 00:00;VELD;Waterdiepte (m);0.3;m;113136;488342
2009339;2009-08-05 00:00;VELD;Waterdiepte (m);0.5;m;128994;473976
2009339;2009-08-05 00:00;VELD;Waterdiepte (m);0.5;m;128994;473976
2009348;2009-08-10 00:00;VELD;Waterdiepte (m);0.4;m;129389;476283
2009348;2009-08-10 00:00;VELD;Waterdiepte (m);0.4;m;129389;476283
2009356;2009-08-11 00:00;VELD;Waterdiepte (m);0.3;m;128952;473458
2009356;2009-08-11 00:00;VELD;Waterdiepte (m);0.3;m;128952;473458
20091389;2009-09-08 00:00;VELD;Waterdiepte (m);1.4;m;124428;477967
20091389;2009-09-08 00:00;VELD;Waterdiepte (m);1.4;m;124428;477967
3220100092;2010-07-01 00:00;VELD;Waterdiepte (m);0.1;m;128934;483088
3220100092;2010-07-01 00:00;VELD;Waterdiepte (m);0.1;m;128934;483088
3220100237;2010-07-15 00:00;VELD;Waterdiepte (m);0.4;m;120967;479420
3220100237;2010-07-15 00:00;VELD;Waterdiepte (m);0.4;m;120967;479420
3220100311;2010-07-20 00:00;VELD;Waterdiepte (m);0.2;m;121027;480277
3220100311;2010-07-20 00:00;VELD;Waterdiepte (m);0.2;m;121027;480277
3220101010;2010-08-30 00:00;VELD;Waterdiepte (m);0.4;m;122000;477230
3220101010;2010-08-30 00:00;VELD;Waterdiepte (m);0.4;m;122000;477230
3220101261;2010-09-09 00:00;VELD;Waterdiepte (m);0.3;m;122368;474435
3220101261;2010-09-09 00:00;VELD;Waterdiepte (m);0.3;m;122368;474435
3220101658;2010-09-27 00:00;VELD;Waterdiepte (m);1.5;m;124428;477967
3220101658;2010-09-27 00:00;VELD;Waterdiepte (m);1.5;m;124428;477967
3220110797;2011-07-26 00:00;VELD;Waterdiepte (m);0.3;m;117769;476704
3220110797;2011-07-26 00:00;VELD;Waterdiepte (m);0.3;m;117769;476704
3220110844;2011-07-27 00:00;VELD;Waterdiepte (m);0.3;m;119055;475103
3220110844;2011-07-27 00:00;VELD;Waterdiepte (m);0.3;m;119055;475103
3220110888;2011-07-28 00:00;VELD;Waterdiepte (m);0.3;m;117888;474337
3220110888;2011-07-28 00:00;VELD;Waterdiepte (m);0.3;m;117888;474337
3220110913;2011-07-29 00:00;VELD;Waterdiepte (m);0.6;m;124428;477967
3220110913;2011-07-29 00:00;VELD;Waterdiepte (m);0.6;m;124428;477967
3220120211;2012-06-13 00:00;VELD;Waterdiepte (m);0.3;m;128952;473458
3220120211;2012-06-13 00:00;VELD;Waterdiepte (m);0.3;m;128952;473458
3220120258;2012-06-14 00:00;VELD;Waterdiepte (m);0.4;m;128994;473976
3220120258;2012-06-14 00:00;VELD;Waterdiepte (m);0.4;m;128994;473976
3220120261;2012-06-14 00:00;VELD;Waterdiepte (m);0.15;m;129389;476283
3220120261;2012-06-14 00:00;VELD;Waterdiepte (m);0.15;m;129389;476283
3220120432;2012-06-21 00:00;VELD;Waterdiepte (m);1.0;m;128298;476478
3220120432;2012-06-21 00:00;VELD;Waterdiepte (m);1.0;m;128298;476478
3220120776;2012-07-05 00:00;VELD;Waterdiepte (m);0.5;m;113136;488342
3220120776;2012-07-05 00:00;VELD;Waterdiepte (m);0.5;m;113136;488342
WP_NVO_415071;2014-08-11 00:00;VELD;Waterdiepte (m);0.4;m;113078;484874
WP_NVO_415071;2014-08-11 00:00;VELD;Waterdiepte (m);0.4;m;113078;484874
14411656;2014-08-12 00:00;VELD;Waterdiepte (m);1.2;m;124428;477967
14411656;2014-08-12 00:00;VELD;Waterdiepte (m);1.2;m;124428;477967
WP_NVO_415241;2014-08-14 00:00;VELD;Waterdiepte (m);0.4;m;112483;470393
WP_NVO_415241;2014-08-14 00:00;VELD;Waterdiepte (m);0.4;m;112483;470393
WP_NVO_419734;2014-09-19 00:00;VELD;Waterdiepte (m);0.8;m;115910;488687
WP_NVO_419734;2014-09-19 00:00;VELD;Waterdiepte (m);0.8;m;115910;488687
15440822;2015-06-29 00:00;VELD;Waterdiepte (m);1.1;m;124428;477967
15440822;2015-06-29 00:00;VELD;Waterdiepte (m);1.1;m;124428;477967
15438074;2015-07-06 00:00;VELD;Waterdiepte (m);0.32;m;128952;473458
15438074;2015-07-06 00:00;VELD;Waterdiepte (m);0.32;m;128952;473458
15437584;2015-07-08 00:00;VELD;Waterdiepte (m);0.4;m;129389;476283
15437584;2015-07-08 00:00;VELD;Waterdiepte (m);0.4;m;129389;476283
15436863;2015-07-15 00:00;VELD;Waterdiepte (m);0.6;m;115910;488687
15436863;2015-07-15 00:00;VELD;Waterdiepte (m);0.6;m;115910;488687
15437009;2015-07-20 00:00;VELD;Waterdiepte (m);0.24;m;117769;476704
15437009;2015-07-20 00:00;VELD;Waterdiepte (m);0.24;m;117769;476704
15437884;2015-07-20 00:00;VELD;Waterdiepte (m);0.02;m;117888;474337
15437884;2015-07-20 00:00;VELD;Waterdiepte (m);0.02;m;117888;474337
15437266;2015-07-30 12:00;VELD;Waterdiepte (m);0.5;m;113136;488342
15437266;2015-07-30 12:00;VELD;Waterdiepte (m);0.5;m;113136;488342
15437845;2015-07-31 00:00;VELD;Waterdiepte (m);0.3;m;113078;484874
15437845;2015-07-31 00:00;VELD;Waterdiepte (m);0.3;m;113078;484874
15440840;2015-08-24 00:00;VELD;Waterdiepte (m);2.0;m;126262;477609
15440840;2015-08-24 00:00;VELD;Waterdiepte (m);2.0;m;126262;477609
WP470540;2016-07-22 00:00;VELD;Waterdiepte (m);0.8;m;124428;477967
WP470540;2016-07-22 00:00;VELD;Waterdiepte (m);0.8;m;124428;477967
WP469507;2016-08-03 00:00;VELD;Waterdiepte (m);0.4;m;123228;475060
WP469507;2016-08-03 00:00;VELD;Waterdiepte (m);0.4;m;123228;475060
WP468948;2016-08-04 00:00;VELD;Waterdiepte (m);0.25;m;115384;491652
WP468948;2016-08-04 00:00;VELD;Waterdiepte (m);0.25;m;115384;491652
WP498929;2017-07-05 00:00;VELD;Waterdiepte (m);1.3;m;124428;477967
WP498929;2017-07-05 00:00;VELD;Waterdiepte (m);1.3;m;124428;477967
WP527527;2018-06-11 00:00;VELD;Waterdiepte (m);0.3;m;113078;484874
WP527527;2018-06-11 00:00;VELD;Waterdiepte (m);0.3;m;113078;484874
WP527386;2018-06-14 12:00;VELD;Waterdiepte (m);0.5;m;113136;488342
WP527386;2018-06-14 12:00;VELD;Waterdiepte (m);0.5;m;113136;488342
WP526769;2018-06-26 00:00;VELD;Waterdiepte (m);1.8;m;124428;477967
WP526769;2018-06-26 00:00;VELD;Waterdiepte (m);1.8;m;124428;477967
WP527157;2018-07-02 12:00;VELD;Waterdiepte (m);0.55;m;117769;476704
WP527157;2018-07-02 12:00;VELD;Waterdiepte (m);0.55;m;117769;476704
WP527273;2018-07-09 00:00;VELD;Waterdiepte (m);0.2;m;129389;476283
WP527273;2018-07-09 00:00;VELD;Waterdiepte (m);0.2;m;129389;476283
WP527407;2018-07-19 00:00;VELD;Waterdiepte (m);0.2;m;117888;474337
WP527407;2018-07-19 00:00;VELD;Waterdiepte (m);0.2;m;117888;474337
WP526963;2018-07-23 00:00;VELD;Waterdiepte (m);1.8;m;126262;477609
WP526963;2018-07-23 00:00;VELD;Waterdiepte (m);1.8;m;126262;477609
WP527367;2018-07-31 00:00;VELD;Waterdiepte (m);0.6;m;115910;488687
WP527367;2018-07-31 00:00;VELD;Waterdiepte (m);0.6;m;115910;488687
