monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060154;2006-08-15 00:00;VELD;X_coordinaat (m);126579.0;m;126579;464142
3420060154;2006-08-15 00:00;VELD;X_coordinaat (m);126579.0;m;126579;464142
3420230127;2023-09-14 00:00;VELD;X_coordinaat (m);122015.0;m;121943;474551
3420230127;2023-09-14 00:00;VELD;X_coordinaat (m);121880.0;m;121943;474551
3420230127;2023-09-14 00:00;VELD;X_coordinaat (m);122015.0;m;121943;474551
3420230127;2023-09-14 00:00;VELD;X_coordinaat (m);121880.0;m;121943;474551
3420060089;2006-05-09 00:00;VELD;X_coordinaat (m);123763.0;m;123752;473686
3420060089;2006-05-09 00:00;VELD;X_coordinaat (m);123835.0;m;123752;473686
3420060089;2006-05-09 00:00;VELD;X_coordinaat (m);123763.0;m;123752;473686
3420060089;2006-05-09 00:00;VELD;X_coordinaat (m);123835.0;m;123752;473686
3420060150;2006-08-11 00:00;VELD;X_coordinaat (m);122016.0;m;122016;468932
3420060150;2006-08-11 00:00;VELD;X_coordinaat (m);122018.0;m;122016;468932
3420060150;2006-08-11 00:00;VELD;X_coordinaat (m);122016.0;m;122016;468932
3420060150;2006-08-11 00:00;VELD;X_coordinaat (m);122018.0;m;122016;468932
3420060337;2006-09-14 00:00;VELD;X_coordinaat (m);126359.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;X_coordinaat (m);125752.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;X_coordinaat (m);126359.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;X_coordinaat (m);125752.0;m;126359;471392
3420120013;2012-08-07 00:00;VELD;X_coordinaat (m);122010.0;m;122010;469850
3420120013;2012-08-07 00:00;VELD;X_coordinaat (m);122014.0;m;122010;469850
3420120013;2012-08-07 00:00;VELD;X_coordinaat (m);122010.0;m;122010;469850
3420120013;2012-08-07 00:00;VELD;X_coordinaat (m);122014.0;m;122010;469850
3420120014;2012-08-07 00:00;VELD;X_coordinaat (m);122010.0;m;122010;469850
3420120014;2012-08-07 00:00;VELD;X_coordinaat (m);122014.0;m;122010;469850
3420120014;2012-08-07 00:00;VELD;X_coordinaat (m);122010.0;m;122010;469850
3420120014;2012-08-07 00:00;VELD;X_coordinaat (m);122014.0;m;122010;469850
3420120226;2012-09-27 00:00;VELD;X_coordinaat (m);123770.0;m;123752;473686
3420120226;2012-09-27 00:00;VELD;X_coordinaat (m);123829.0;m;123752;473686
3420120226;2012-09-27 00:00;VELD;X_coordinaat (m);123770.0;m;123752;473686
3420120226;2012-09-27 00:00;VELD;X_coordinaat (m);123829.0;m;123752;473686
3420130389;2013-09-30 00:00;VELD;X_coordinaat (m);126676.0;m;126359;471392
3420130389;2013-09-30 00:00;VELD;X_coordinaat (m);125986.0;m;126359;471392
3420130389;2013-09-30 00:00;VELD;X_coordinaat (m);126676.0;m;126359;471392
3420130389;2013-09-30 00:00;VELD;X_coordinaat (m);125986.0;m;126359;471392
3420160124;2016-09-21 00:00;VELD;X_coordinaat (m);126026.0;m;126359;471392
3420160124;2016-09-21 00:00;VELD;X_coordinaat (m);126730.0;m;126359;471392
3420160124;2016-09-21 00:00;VELD;X_coordinaat (m);126026.0;m;126359;471392
3420160124;2016-09-21 00:00;VELD;X_coordinaat (m);126730.0;m;126359;471392
3420160096;2016-09-22 00:00;VELD;X_coordinaat (m);126082.0;m;126359;471392
3420160096;2016-09-22 00:00;VELD;X_coordinaat (m);126658.0;m;126359;471392
3420160096;2016-09-22 00:00;VELD;X_coordinaat (m);126082.0;m;126359;471392
