monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060154;2006-08-15 00:00;VELD;Y_coordinaat (m);464142.016;m;126579;464142
3420060154;2006-08-15 00:00;VELD;Y_coordinaat (m);464142.016;m;126579;464142
3420230127;2023-09-14 00:00;VELD;Y_coordinaat (m);474443.008;m;121943;474551
3420230127;2023-09-14 00:00;VELD;Y_coordinaat (m);474652.992;m;121943;474551
3420230127;2023-09-14 00:00;VELD;Y_coordinaat (m);474443.008;m;121943;474551
3420230127;2023-09-14 00:00;VELD;Y_coordinaat (m);474652.992;m;121943;474551
3420060089;2006-05-09 00:00;VELD;Y_coordinaat (m);473688.992;m;123752;473686
3420060089;2006-05-09 00:00;VELD;Y_coordinaat (m);473929.984;m;123752;473686
3420060089;2006-05-09 00:00;VELD;Y_coordinaat (m);473688.992;m;123752;473686
3420060089;2006-05-09 00:00;VELD;Y_coordinaat (m);473929.984;m;123752;473686
3420060150;2006-08-11 00:00;VELD;Y_coordinaat (m);468932.0;m;122016;468932
3420060150;2006-08-11 00:00;VELD;Y_coordinaat (m);468606.016;m;122016;468932
3420060150;2006-08-11 00:00;VELD;Y_coordinaat (m);468932.0;m;122016;468932
3420060150;2006-08-11 00:00;VELD;Y_coordinaat (m);468606.016;m;122016;468932
3420060337;2006-09-14 00:00;VELD;Y_coordinaat (m);471392.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;Y_coordinaat (m);471080.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;Y_coordinaat (m);471392.0;m;126359;471392
3420060337;2006-09-14 00:00;VELD;Y_coordinaat (m);471080.0;m;126359;471392
3420120013;2012-08-07 00:00;VELD;Y_coordinaat (m);469849.984;m;122010;469850
3420120013;2012-08-07 00:00;VELD;Y_coordinaat (m);469598.016;m;122010;469850
3420120013;2012-08-07 00:00;VELD;Y_coordinaat (m);469849.984;m;122010;469850
3420120013;2012-08-07 00:00;VELD;Y_coordinaat (m);469598.016;m;122010;469850
3420120014;2012-08-07 00:00;VELD;Y_coordinaat (m);469849.984;m;122010;469850
3420120014;2012-08-07 00:00;VELD;Y_coordinaat (m);469598.016;m;122010;469850
3420120014;2012-08-07 00:00;VELD;Y_coordinaat (m);469849.984;m;122010;469850
3420120014;2012-08-07 00:00;VELD;Y_coordinaat (m);469598.016;m;122010;469850
3420120226;2012-09-27 00:00;VELD;Y_coordinaat (m);473704.992;m;123752;473686
3420120226;2012-09-27 00:00;VELD;Y_coordinaat (m);473910.016;m;123752;473686
3420120226;2012-09-27 00:00;VELD;Y_coordinaat (m);473704.992;m;123752;473686
3420120226;2012-09-27 00:00;VELD;Y_coordinaat (m);473910.016;m;123752;473686
3420130389;2013-09-30 00:00;VELD;Y_coordinaat (m);471548.992;m;126359;471392
3420130389;2013-09-30 00:00;VELD;Y_coordinaat (m);471152.992;m;126359;471392
3420130389;2013-09-30 00:00;VELD;Y_coordinaat (m);471548.992;m;126359;471392
3420130389;2013-09-30 00:00;VELD;Y_coordinaat (m);471152.992;m;126359;471392
3420160124;2016-09-21 00:00;VELD;Y_coordinaat (m);471153.984;m;126359;471392
3420160124;2016-09-21 00:00;VELD;Y_coordinaat (m);471416.0;m;126359;471392
3420160124;2016-09-21 00:00;VELD;Y_coordinaat (m);471153.984;m;126359;471392
3420160124;2016-09-21 00:00;VELD;Y_coordinaat (m);471416.0;m;126359;471392
3420160096;2016-09-22 00:00;VELD;Y_coordinaat (m);471088.992;m;126359;471392
3420160096;2016-09-22 00:00;VELD;Y_coordinaat (m);471283.008;m;126359;471392
3420160096;2016-09-22 00:00;VELD;Y_coordinaat (m);471088.992;m;126359;471392
3420160096;2016-09-22 00:00;VELD;Y_coordinaat (m);471283.008;m;126359;471392
3420180005;2018-09-25 00:00;VELD;Y_coordinaat (m);473652.992;m;123752;473686
3420180005;2018-09-25 00:00;VELD;Y_coordinaat (m);473884.0;m;123752;473686
3420180005;2018-09-25 00:00;VELD;Y_coordinaat (m);473652.992;m;123752;473686
3420180005;2018-09-25 00:00;VELD;Y_coordinaat (m);473884.0;m;123752;473686
3420190145;2019-07-29 00:00;VELD;Y_coordinaat (m);469604.992;m;122010;469850
3420190145;2019-07-29 00:00;VELD;Y_coordinaat (m);469859.008;m;122010;469850
3420190145;2019-07-29 00:00;VELD;Y_coordinaat (m);469604.992;m;122010;469850
3420190145;2019-07-29 00:00;VELD;Y_coordinaat (m);469859.008;m;122010;469850
3420190146;2019-07-29 00:00;VELD;Y_coordinaat (m);469859.008;m;122010;469850
3420190146;2019-07-29 00:00;VELD;Y_coordinaat (m);469604.992;m;122010;469850
3420190146;2019-07-29 00:00;VELD;Y_coordinaat (m);469859.008;m;122010;469850
3420190146;2019-07-29 00:00;VELD;Y_coordinaat (m);469604.992;m;122010;469850
3420190150;2019-08-26 00:00;VELD;Y_coordinaat (m);471489.984;m;126359;471392
3420190150;2019-08-26 00:00;VELD;Y_coordinaat (m);470814.016;m;126359;471392
3420190150;2019-08-26 00:00;VELD;Y_coordinaat (m);471489.984;m;126359;471392
3420190150;2019-08-26 00:00;VELD;Y_coordinaat (m);470814.016;m;126359;471392
3420190151;2019-08-28 00:00;VELD;Y_coordinaat (m);471680.0;m;126359;471392
3420190151;2019-08-28 00:00;VELD;Y_coordinaat (m);471015.008;m;126359;471392
3420190151;2019-08-28 00:00;VELD;Y_coordinaat (m);471680.0;m;126359;471392
3420190151;2019-08-28 00:00;VELD;Y_coordinaat (m);471015.008;m;126359;471392
3420220104;2022-09-27 00:00;VELD;Y_coordinaat (m);471665.984;m;126359;471392
3420220104;2022-09-27 00:00;VELD;Y_coordinaat (m);470948.0;m;126359;471392
3420220104;2022-09-27 00:00;VELD;Y_coordinaat (m);471665.984;m;126359;471392
3420220104;2022-09-27 00:00;VELD;Y_coordinaat (m);470948.0;m;126359;471392
3420220105;2022-09-27 00:00;VELD;Y_coordinaat (m);470920.0;m;126359;471392
3420220105;2022-09-27 00:00;VELD;Y_coordinaat (m);471622.016;m;126359;471392
3420220105;2022-09-27 00:00;VELD;Y_coordinaat (m);470920.0;m;126359;471392
3420220105;2022-09-27 00:00;VELD;Y_coordinaat (m);471622.016;m;126359;471392
3420240103;2024-09-30 00:00;VELD;Y_coordinaat (m);473652.0;m;123752;473686
3420240103;2024-09-30 00:00;VELD;Y_coordinaat (m);473857.984;m;123752;473686
3420240103;2024-09-30 00:00;VELD;Y_coordinaat (m);473652.0;m;123752;473686
3420240103;2024-09-30 00:00;VELD;Y_coordinaat (m);473857.984;m;123752;473686
