monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060154;2006-08-15 00:00;HYBIO;Visvangstfactor;1.0;DIMSLS;126579;464142
3420060154;2006-08-15 00:00;HYBIO;Visvangstfactor;1.0;DIMSLS;126579;464142
3420060154;2006-08-15 00:00;MONSVAR;Bemonsterd oppervlak (m2);1400.0;m2;126579;464142
3420060154;2006-08-15 00:00;MONSVAR;Bemonsterd oppervlak (m2);1400.0;m2;126579;464142
337960;2006-08-31 00:00;HYBIO_KRWTOETS;Vissen bijvangst (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO_KRWTOETS;Vissen bijvangst (n);3.0;n;121943;474551
2007335;2007-08-01 00:00;ALG;Geleidendheid of EGV;50.0;mS/m;126712;473265
2007335;2007-08-01 00:00;ALG;Geleidendheid of EGV;50.0;mS/m;126712;473265
2008343;2007-08-01 00:00;ALG;Geleidendheid of EGV;50.0;mS/m;126712;473265
2008343;2007-08-01 00:00;ALG;Geleidendheid of EGV;50.0;mS/m;126712;473265
3220100092;2010-07-01 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;128934;483088
3220100092;2010-07-01 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;128934;483088
3220100237;2010-07-15 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;120967;479420
3220100237;2010-07-15 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;120967;479420
3220100311;2010-07-20 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;121027;480277
3220100311;2010-07-20 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;121027;480277
3220101010;2010-08-30 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;122000;477230
3220101010;2010-08-30 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;122000;477230
3220101261;2010-09-09 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;122368;474435
3220101261;2010-09-09 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;122368;474435
3220110797;2011-07-26 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);5.0;DIMSLS;117769;476704
3220110797;2011-07-26 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);5.0;DIMSLS;117769;476704
3220110844;2011-07-27 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);5.0;DIMSLS;119055;475103
3220110844;2011-07-27 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);5.0;DIMSLS;119055;475103
3220110888;2011-07-28 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;117888;474337
3220110888;2011-07-28 00:00;VELD;Taludhoek boven water (uitgedrukt in waardebereik);4.0;DIMSLS;117888;474337
WP_NVO_415071;2014-08-11 00:00;HYBIO;Lengtefractieplanten (%);10.0;%;113078;484874
WP_NVO_415071;2014-08-11 00:00;HYBIO;Lengtefractieplanten (%);10.0;%;113078;484874
WP_NVO_415071;2014-08-11 00:00;VELD;Beschaduwing (%);15.0;%;113078;484874
WP_NVO_415071;2014-08-11 00:00;VELD;Beschaduwing (%);15.0;%;113078;484874
WP_NVO_415071;2014-08-11 00:00;VELD;Talud onderwater (graad);5.0;graad;113078;484874
WP_NVO_415071;2014-08-11 00:00;VELD;Talud onderwater (graad);5.0;graad;113078;484874
WP_NVO_415241;2014-08-14 00:00;HYBIO;Lengtefractieplanten (%);100.0;%;112483;470393
WP_NVO_415241;2014-08-14 00:00;HYBIO;Lengtefractieplanten (%);100.0;%;112483;470393
WP_NVO_415241;2014-08-14 00:00;VELD;Beschaduwing (%);0.0;%;112483;470393
WP_NVO_415241;2014-08-14 00:00;VELD;Beschaduwing (%);0.0;%;112483;470393
WP_NVO_415241;2014-08-14 00:00;VELD;Talud onderwater (graad);45.0;graad;112483;470393
WP_NVO_415241;2014-08-14 00:00;VELD;Talud onderwater (graad);45.0;graad;112483;470393
WP_NVO_419734;2014-09-19 00:00;HYBIO;Lengtefractieplanten (%);80.0;%;115910;488687
