monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2000011012;2000-01-14 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.273;mg/l;120487;465405
WN_FC2000012087;2000-01-26 11:11;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.023;mg/l;125220;474167
WN_FC2000020439;2000-02-07 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.065;mg/l;123861;478403
WN_FC2000020457;2000-02-07 12:12;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.069;mg/l;117682;468169
WN_FC2000020450;2000-02-07 14:14;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.005;mg/l;118726;472491
WN_FC2000020820;2000-02-10 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.047;mg/l;125220;474167
WN_FC2000020830;2000-02-10 12:12;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.12;mg/l;119226;481849
WN_FC2000021243;2000-02-15 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.111;mg/l;120487;465405
WN_FC2000022227;2000-02-25 11:11;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.288;mg/l;117682;468169
WN_FC2000022500;2000-02-29 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.095;mg/l;120487;465405
WN_FC2000030540;2000-03-07 13:13;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.087;mg/l;125220;474167
WN_FC2000030643;2000-03-08 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.048;mg/l;117682;468169
WN_FC2000030720;2000-03-10 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.009;mg/l;118726;472491
WN_FC2000031541;2000-03-20 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.043;mg/l;117682;468169
WN_FC2000032405;2000-03-29 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.165;mg/l;120487;465405
WN_FC2000040017;2000-04-03 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.005;mg/l;118726;472491
WN_FC2000040002;2000-04-03 13:13;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.063;mg/l;123861;478403
WN_FC2000040104;2000-04-04 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.012;mg/l;125220;474167
WN_FC2000040365;2000-04-06 12:12;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.138;mg/l;119226;481849
WN_FC2000040469;2000-04-07 13:13;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.063;mg/l;117682;468169
WN_FC2000041567;2000-04-20 11:11;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.034;mg/l;117682;468169
WN_FC2000042115;2000-04-27 10:10;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.237;mg/l;120487;465405
WN_FC2000050018;2000-05-02 09:50;NUTRI;Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l);0.035;mg/l;123861;478403
