id;CHLFa_ug_l_spectro;Ca_mg_l_nf;Cl_mg_l;E__m_L380nm;E__m_L440nm;FEOa_ug_l;GELDHD_mS_m_25oC;MGETAL_mgHCO3_l_nf;NH3_mgN_l_nf;NH4_mgN_l_nf;NKj_mgN_l;NO2_mgN_l_nf;NO3_mgN_l_nf;Ntot_mgN_l;O2__;O2_mg_l;PO4_mgP_l_nf;Ptot_mgP_l;SO4_mg_l_nf;T_oC;ZICHT_m;ZS_mg_l;pH;sNO3NO2_mgN_l_nf
CHLFa_ug_l_spectro;1.0;0.2151204836735596;-0.22410129974163293;0.47564868367783814;0.45133231337595736;0.5091637997645576;-0.10719093917022265;-0.13831720208826462;-0.002524067838418407;0.23885088289380343;0.5069556373806736;0.5723370347439581;0.25843538818495015;0.5168009217979519;-0.17503284840106365;-0.3881216527869969;0.6440664945985157;0.593439883458619;0.10333178079592446;0.3425904205148809;-0.5100804954554596;0.6226752444208861;-0.2726870678766106;0.3622190445926708
Ca_mg_l_nf;0.2151204836735596;1.0;-0.28116339193901324;0.03827388810831809;0.04897808744075428;-0.12975302336432626;-0.38788451064353985;0.4568239078323334;0.33392208345649177;0.7018702921605561;0.3368750197091821;0.5029225837739595;0.6274448616830256;0.38734622202400093;0.478462963430411;0.40751954387807404;-0.08833123981395519;0.002767602908229098;0.48233642421221323;0.16041373364862901;0.5587758484914832;0.35309600949551073;-0.5791527511639726;0.6262679650735264
Cl_mg_l;-0.22410129974163293;-0.28116339193901324;1.0;-0.25793491738206176;-0.23016113541788596;-0.1601303030934526;0.704536444867166;-0.7582020196636523;-0.4853605654754641;-0.4091917645775584;-0.47858768777910615;-0.3743243221872323;-0.2198841499158867;-0.4255181618566512;0.5935674643501109;0.4837425598582565;-0.4404857178303987;-0.47281361516477105;0.004037178824100574;-0.4103524015241486;0.25419463626301747;-0.3823377868649961;0.03330055824954334;-0.09817564817571067
E__m_L380nm;0.47564868367783814;0.03827388810831809;-0.25793491738206176;1.0;0.9916260033920932;0.3163746561134165;-0.11088489103579476;-0.31809574630754606;-0.13448715266509176;0.29177947546625665;0.5577375251901339;0.36098811074474824;0.07603684448537958;0.4455652199358083;-0.170890230196263;-0.2347874917956601;0.37723277931735183;0.566789987964443;0.03585228281999818;-0.060850897486293486;-0.41971467909557036;0.285517340123413;-0.5661211631139833;0.06712619759290796
E__m_L440nm;0.45133231337595736;0.04897808744075428;-0.23016113541788596;0.9916260033920932;1.0;0.2641851204792105;-0.14282905744899876;-0.3176801179009752;-0.12539839947096262;0.2333163395570608;0.4962828854824852;0.31582404313702633;0.019216763637723514;0.3784261574666253;-0.1348917837909969;-0.19840484624275567;0.3292543109532175;0.5226443974797966;-0.039425725032734976;-0.08462591289397715;-0.3862465881892699;0.236611183591828;-0.5501056302201249;0.04384297399754067
FEOa_ug_l;0.5091637997645576;-0.12975302336432626;-0.1601303030934526;0.3163746561134165;0.2641851204792105;1.0;-0.013796347249514852;-0.1972313401460093;0.05925817121975233;0.18197743072990163;0.38854633710268843;0.3876846311634161;0.36454150047396067;0.4567616770509753;-0.1351375218719574;-0.22617192212576673;0.3017798517201362;0.32550479248281966;0.29281852625638;0.27073250452931336;-0.2604203755121128;0.3851729667276876;-0.2532901110185169;0.19264014907933855
GELDHD_mS_m_25oC;-0.10719093917022265;-0.38788451064353985;0.704536444867166;-0.11088489103579476;-0.14282905744899876;-0.013796347249514852;1.0;-0.5600181176735828;-0.4317122029165708;0.12015130145734845;0.09463768121486048;-0.2101159884855817;-0.23730979828238882;0.061523504748967076;0.02576985620916245;-0.13128405065067844;-0.08455521289718515;0.0364022592948612;0.44112516048803296;0.03311180274613141;-0.12318368170675525;-0.2355698472444566;-0.01100648525922135;-0.32863373372190774
MGETAL_mgHCO3_l_nf;-0.13831720208826462;0.4568239078323334;-0.7582020196636523;-0.31809574630754606;-0.3176801179009752;-0.1972313401460093;-0.5600181176735828;1.0;0.2683635059881182;0.5395901442187779;0.27405260329635706;0.5019432207542026;0.14223627269670044;0.21886903052770026;-0.7508751511218312;-0.4869092069445319;0.7695625440960747;0.7006875318678741;-0.24015647671612458;0.28098970962412656;-0.45099785574673795;0.11737694889704378;0.23570540687130648;-0.15278935640897545
NH3_mgN_l_nf;-0.002524067838418407;0.33392208345649177;-0.4853605654754641;-0.13448715266509176;-0.12539839947096262;0.05925817121975233;-0.4317122029165708;0.2683635059881182;1.0;0.20660454857083496;0.20038694989946335;0.4717936657113315;0.6446718516138737;0.3919439757204114;-0.14537246406950172;-0.0013731043606124065;-0.1824138859793786;-0.0971107098045489;-0.04890250392634649;0.08038685948948218;0.03278800276110483;0.24954203496512511;0.1368968948134311;0.6208794030906816
NH4_mgN_l_nf;0.23885088289380343;0.7018702921605561;-0.4091917645775584;0.29177947546625665;0.2333163395570608;0.18197743072990163;0.12015130145734845;0.5395901442187779;0.20660454857083496;1.0;0.8772480093793663;0.44485346385367347;0.33494480491370154;0.8271362237649044;-0.3237331766364234;-0.33820409513541444;0.21593868926589851;0.32877976915418694;0.6908903717945303;0.23823884407496773;-0.5224104164246175;0.6302324385352263;-0.4765852313313529;0.26656949261480284
NKj_mgN_l;0.5069556373806736;0.3368750197091821;-0.47858768777910615;0.5577375251901339;0.4962828854824852;0.38854633710268843;0.09463768121486048;0.27405260329635706;0.20038694989946335;0.8772480093793663;1.0;0.5243291827906194;0.31523766876021087;0.9422316432691457;-0.47068789103797054;-0.5340609494931675;0.45473995351010793;0.648989645576843;0.5692661487103886;0.34098864807760104;-0.5988798486352277;0.6133857291100376;-0.4718927452399809;0.3603170560542767
NO2_mgN_l_nf;0.5723370347439581;0.5029225837739595;-0.3743243221872323;0.36098811074474824;0.31582404313702633;0.3876846311634161;-0.2101159884855817;0.5019432207542026;0.4717936657113315;0.44485346385367347;0.5243291827906194;1.0;0.6688685247044522;0.6448613988290917;-0.3200479781107317;-0.3096981314998378;0.36381656495788905;0.34271195263943105;0.21158619097045353;0.3201588120951423;-0.6239299482562058;0.6486090154994297;-0.5054166331034373;0.38099231452404314
NO3_mgN_l_nf;0.25843538818495015;0.6274448616830256;-0.2198841499158867;0.07603684448537958;0.019216763637723514;0.36454150047396067;-0.23730979828238882;0.14223627269670044;0.6446718516138737;0.33494480491370154;0.31523766876021087;0.6688685247044522;1.0;0.5740735574302012;0.18391030739174488;0.24914174473269507;-0.020630060469632363;-0.09856612569705482;0.4266746380368423;-0.07196934336906058;-0.06135368926025819;0.48605268289834896;-0.4435325782269201;0.9229715485343054
Ntot_mgN_l;0.5168009217979519;0.38734622202400093;-0.4255181618566512;0.4455652199358083;0.3784261574666253;0.4567616770509753;0.061523504748967076;0.21886903052770026;0.3919439757204114;0.8271362237649044;0.9422316432691457;0.6448613988290917;0.5740735574302012;1.0;-0.35616463080547206;-0.39590801679461085;0.349605630398509;0.4966528332081141;0.636097071805371;0.29205039454445875;-0.5416572415796208;0.6366521572510948;-0.5042341090011118;0.6173867815930598
O2__;-0.17503284840106365;0.478462963430411;0.5935674643501109;-0.170890230196263;-0.1348917837909969;-0.1351375218719574;0.02576985620916245;-0.7508751511218312;-0.14537246406950172;-0.3237331766364234;-0.47068789103797054;-0.3200479781107317;0.18391030739174488;-0.35616463080547206;1.0;0.9295896550667962;-0.6456733621952689;-0.6814045953452084;-0.0023846990368047126;-0.6144474223302774;0.6390553144302131;-0.19393614664079356;-0.10418153273153372;0.6049594149484682
O2_mg_l;-0.3881216527869969;0.40751954387807404;0.4837425598582565;-0.2347874917956601;-0.19840484624275567;-0.22617192212576673;-0.13128405065067844;-0.4869092069445319;-0.0013731043606124065;-0.33820409513541444;-0.5340609494931675;-0.3096981314998378;0.24914174473269507;-0.39590801679461085;0.9295896550667962;1.0;-0.7142257126188879;-0.7794650556823921;-0.057042185927983685;-0.7387677267056175;0.6773269271403762;-0.21955619194237197;-0.06264974004010544;0.6309362340349863
